phrase_id,phrase,sentiment_score
1,local governments,negative
2,middle east,neutral
3,set aside,negative
4,soviet union,neutral
5,executive branch,negative
6,cutting back,negative
7,fellow americans,negative
8,side side,negative
9,members public,negative
10,every american,negative
11,cost living,negative
12,united states,negative
13,50 percent,negative
14,balanced budget,negative
15,law enforcement,negative
16,third century,negative
17,go forward,negative
18,forward together,negative
19,let us,negative
20,middle east,neutral
21,soviet union,neutral
22,health care,negative
23,personal privacy,negative
24,state union,neutral
25,middle class,negative
26,toughest neighborhoods,negative
27,weve got,negative
28,interest rates,negative
29,white house,negative
30,party lines,negative
31,across party,negative
32,mr speaker,negative
33,prescription drugs,negative
34,finish job,negative
35,fellow americans,negative
36,let us,negative
37,renew america,negative
38,new world,neutral
39,america must,negative
40,breeze blowing,negative
41,new engagement,negative
42,new breeze,negative
43,united states,negative
44,home abroad,negative
45,eastern europe,neutral
46,tonight announcing,negative
47,union depends,neutral
48,capital gains,negative
49,men women,negative
50,cut capital,negative
51,real estate,negative
52,hard times,negative
53,balance payments,negative
54,health insurance,negative
55,strong america,negative
56,latin america,negative
57,atlantic community,neutral
58,fellow citizens,neutral
59,let sides,negative
60,let us,negative
61,cold war,negative
62,men women,negative
63,united states,negative
64,cannot afford,neutral
65,strengthen nation,neutral
66,natural gas,negative
67,april 1,negative
68,surplus capacity,negative
69,12 percent,negative
70,united states,negative
71,middle east,neutral
72,third century,negative
73,united states,negative
74,years ago,negative
75,state union,neutral
76,persian gulf,negative
77,american hostages,negative
78,nuclear weapons,negative
79,middle east,neutral
80,last year,negative
81,new spirit,negative
82,united states,negative
83,major step,negative
84,human rights,negative
85,rate inflation,negative
86,foreign policy,negative
87,america best,neutral
88,mass destruction,negative
89,september 11,negative
90,men women,negative
91,tax relief,negative
92,united states,negative
93,holy land,neutral
94,left behind,negative
95,united states,negative
96,men women,negative
97,tax relief,negative
98,status quo,negative
99,civil rights,negative
100,middle class,negative
101,smallbusiness owners,negative
102,wall street,negative
103,men women,negative
104,let us,negative
105,al qaeda,neutral
106,public life,negative
107,united states,negative
108,working families,neutral
109,health care,negative
110,go away,negative
111,federal government,negative
112,let us,negative
113,grass roots,negative
114,trust fund,negative
115,nearly half,negative
116,interest rates,negative
117,foreign policy,negative
118,state union,neutral
119,welfare programs,negative
120,balanced budget,negative
121,freedom fighters,negative
122,7 years,negative
